hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,Finish
288,294,60,46.3,47,0,12.4,0,4,0,0,0,60,58.7,47,-0.02,0.45,-1.28,0.45,-0.38,-0.4,6
288,296,48,37.8,44,3,6.4,3,4,0,0,0,51,44.2,47,0.88,-0.44,-0.8,-0.55,-1.78,-0.9,6
288,294,53,45.3,53,6,7.6,6,4,0,0,0,59,52.9,59,-0.36,0.21,0.79,-1.05,-0.04,-0.4,6
288,285,68,59.5,64,0,6.2,0,4,6,5,3,74,70.7,67,0.75,1.38,0.17,-0.49,1.01,1.76,2
288,292,52.5,43.3,53,0,6,0,4,1,0,0,53.5,49.3,53,-0.18,0.35,-0.67,0.59,0.28,0.1,5
288,294,41,34.2,54,0,1.2,0,4,0,0,0,41,35.4,54,-0.71,0.52,0.01,-0.22,0.31,-0.4,6
288,295,54.5,42.6,52,0,6,0,4,0,0,0,54.5,48.6,52,-0.68,0.32,-1.18,0.89,0.03,-0.65,6
288,282,70,65,68,0,7.6,0,4,14,14,9,84,86.6,77,1.65,-0.5,1.34,0.1,0.95,2.6,1
288,295,47,38.6,49,3,7.6,3,4,0,0,0,50,46.2,52,-0.6,-1.17,0.41,0.71,-0.05,-0.65,6
288,292,54,44.4,52,0,7.4,0,4,1,0,0,55,51.8,52,0.09,-0.8,1.05,-0.24,0.01,0.1,5
288,290,57.5,48.5,55,3,11.8,3,4,2,1,0,62.5,61.3,58,0.46,0.27,0.31,-0.43,0.14,0.6,4
288,282,66,62.6,68,0,12.8,0,4,14,14,9,80,89.4,77,1.21,1.76,0.53,-0.71,1.55,2.76,1
288,285,64,58.3,64,3,6.8,3,4,6,5,3,73,70.1,70,0.73,0.12,1.28,-0.29,1.12,1.85,2
288,289,53.5,47.2,59,0,6.2,0,4,2,1,0,55.5,54.4,59,-0.48,1.04,-1,1.28,1.32,0.85,4
288,287,61.5,54.6,59,3,12.4,3,4,3,2,0,67.5,69,62,0.59,0.7,0.57,-0.51,0.76,1.35,3
288,286,65.5,58.3,59,0,13,0,4,5,4,2,70.5,75.3,61,0.81,-0.99,1.68,0.1,0.79,1.6,2
288,289,59,49.5,58,0,11,0,4,2,1,0,61,61.5,58,0.26,0.36,-0.2,0.42,0.59,0.85,4
288,288,60,52.2,60,0,6.4,0,4,2,1,0,62,59.6,60,1.04,0.81,-0.87,0.13,0.06,1.1,4
288,281,76,68.1,68,0,18.8,0,4,18,18,11,94,104.9,79,0.67,-0.57,1.58,1.18,2.18,2.85,1
288,290,60.5,50.7,53,0,13,0,4,2,1,0,62.5,64.7,53,0.7,-0.42,0.61,-0.3,-0.1,0.6,4
288,284,67.5,61.2,66,3,13.4,3,4,7,6,4,77.5,80.6,73,1.4,0.48,0.72,-0.51,0.7,2.1,1
288,286,57.5,53.3,63,3,7.2,3,4,5,4,2,65.5,64.5,68,1.26,0.64,-0.67,0.37,0.34,1.6,2
288,290,55.5,47.9,55,3,12.4,3,4,2,1,0,60.5,61.3,58,-0.28,0.11,0.46,0.3,0.88,0.6,4
288,290,56,47.4,56,3,13.2,3,4,2,1,0,61,61.6,59,0.85,-0.52,0.07,0.2,-0.25,0.6,4
288,296,40.5,32.3,49,0,1,0,4,0,0,0,40.5,33.3,49,-0.94,0.61,-0.61,0.05,0.04,-0.9,6
288,294,60.5,48.2,48,0,6.8,0,4,0,0,0,60.5,55,48,-1.06,0.1,0.75,-0.19,0.66,-0.4,6
288,286,66,57.8,60,0,11.8,0,4,5,4,2,71,73.6,62,0.65,0.61,-0.19,0.52,0.95,1.6,2
288,295,44.5,36,49,0,7,0,4,0,0,0,44.5,43,49,0.1,-0.41,-0.64,0.29,-0.76,-0.65,6
288,293,59.5,44.2,51,3,13.6,3,4,0,0,0,62.5,57.8,54,-0.02,0.64,0.1,-0.87,-0.13,-0.15,6
288,292,58.5,46.3,53,0,6,0,4,1,0,0,59.5,52.3,53,0.67,0.87,-1.14,-0.3,-0.57,0.1,5
288,287,66,57.8,59,3,19,3,4,3,2,0,72,78.8,62,0.68,0.52,0.31,-0.17,0.67,1.35,3
288,282,77.5,67.9,67,3,13.8,3,4,14,14,9,94.5,95.7,79,1.09,0.67,0.73,0.11,1.51,2.6,1
288,290,55.5,47.9,55,0,8,0,4,2,1,0,57.5,56.9,55,0.34,0.87,0.46,-1.07,0.26,0.6,4
288,291,51.5,44.2,55,0,1,0,4,1,0,0,52.5,45.2,55,0.86,0.34,-0.35,-0.51,-0.51,0.35,5
288,290,52.5,45.6,60,0,1.8,0,4,2,1,0,54.5,48.4,60,-0.44,0.61,0.46,-0.03,1.04,0.6,4
288,290,53.5,47.3,55,0,6.2,0,4,2,1,0,55.5,54.5,55,0.1,-0.24,0.63,0.11,0.5,0.6,4
288,285,73,59.6,64,3,13.6,3,4,6,5,3,82,78.2,70,-0.53,0.42,1.12,0.84,2.38,1.85,2
288,281,74,67.3,72,0,12.8,0,4,18,18,11,92,98.1,83,1.09,0.26,0.79,0.7,1.76,2.85,1
