@relation PGA_Data_Finish_Encoded-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute hole_par numeric
@attribute strokes numeric
@attribute sg_putt numeric
@attribute sg_arg numeric
@attribute sg_app numeric
@attribute sg_ott numeric
@attribute sg_t2g numeric
@attribute sg_total numeric
@attribute Finish {1,2,3,4,5,6}

@data
287,275,-0.16,-0.31,1.31,1.03,2.03,2.04,2
287,281,0.22,0.84,0.5,-0.59,0.75,1.02,5
287,277,0.5,0.83,1.56,0.49,2.88,1.54,2
287,282,0.52,-0.27,-2.65,-0.13,-3.05,0.78,5
287,273,1.19,0.51,1.18,-0.17,1.52,2.93,1
287,280,-1.09,0.4,-0.04,0.21,0.56,1.27,4
287,277,3.2,0.23,-0.81,-0.26,-0.83,1.54,2
287,280,-0.45,0.91,0.46,0.45,1.82,0.79,4
287,282,2.1,1.39,0.34,-0.36,1.37,0.78,5
287,279,-0.57,0.8,0.5,0.98,2.28,1.43,3
287,276,0.65,0.16,0.92,0.48,1.56,2.18,2
287,272,1.02,0.96,-1.21,0.6,0.35,2.79,1
287,281,-0.56,-1.68,1.92,-0.3,-0.07,0.54,5
287,274,0.26,0.92,0.61,0.42,1.96,2.68,1
287,279,1.23,-0.84,0.39,0.7,0.25,1.52,3
287,277,-1.07,0.66,1.54,-0.92,1.28,1.93,2
287,280,-1.49,0.11,2.16,-0.07,2.2,1.18,4
287,281,-1.07,-0.07,1.18,-0.16,0.95,0.54,5
287,281,1.39,-0.96,-1.12,0.16,-1.92,1.02,5
287,280,1.26,0.67,-1.69,0.23,-0.79,1.27,4
287,281,0.03,-0.63,-0.19,-0.23,-1.05,1.02,5
287,277,0.91,0.83,0.57,-0.61,0.8,1.93,2
287,274,1.95,-0.58,1.61,0,1.02,2.77,1
287,280,1.13,-1.06,-0.94,1.34,-0.66,1.27,4
287,282,-0.15,-0.03,0.88,-0.23,0.63,0.78,5
287,268,2.63,0.6,2,0.48,3.08,4.18,1
287,272,1.38,-0.01,2.23,0.38,2.6,3.27,1
287,277,1.34,0.75,0.16,0.46,1.37,1.93,2
287,279,1.2,-0.45,0.87,0.25,0.67,1.04,3
287,282,-3.09,0.7,0.47,1.13,2.3,0.68,5
287,279,-0.6,0.96,-0.94,0.55,0.58,1.52,3
285,283,0.38,1.26,0.46,-0.56,1.17,0.69,5
285,287,0.52,0.23,-0.91,-0.44,-1.13,-0.6,6
285,282,0.3,0.63,0.39,-0.27,0.75,0.65,4
285,275,0.79,0.53,0.64,0.92,2.09,2.69,1
285,284,0.76,-0.67,-1.73,-0.3,-2.7,0.15,6
285,284,-1.81,-0.48,-0.02,0.37,-0.13,0.15,6
285,298,-1.46,-1.54,-0.95,-0.32,-2.82,-3.35,6
285,290,-0.32,-0.19,0.18,-0.8,-0.8,-1.06,6
285,282,0.88,0.14,-0.52,0.05,-0.33,0.94,4
285,276,1.76,0.54,-0.97,-0.11,-0.55,2.44,2
285,283,-0.6,0.06,1.15,0.27,1.48,0.69,5
285,283,-1.08,-0.87,0.27,1.07,0.47,0.4,5
285,284,0.44,-0.17,0.2,-0.27,-0.23,0.43,6
285,289,0.49,-1.08,-0.56,-0.12,-1.76,-1.1,6
285,295,-2.57,0.85,-1.67,-0.41,-1.22,-2.31,6
285,289,-0.02,-0.15,0.23,-1,-0.92,-1.1,6
285,288,-0.37,-0.33,-0.39,0.63,-0.08,-0.56,6
285,274,0.71,1.27,0.54,-0.13,1.69,2.65,1
285,288,-0.63,-0.22,0.59,-0.2,0.18,-0.56,6
285,278,-0.76,0.35,1.12,1.16,2.64,1.94,2
285,278,0.92,0.22,0.41,0.32,0.96,1.94,2
285,281,0.6,0.23,-0.32,0.04,-0.05,1.19,4
285,279,-0.72,0.43,1.26,1.09,2.78,1.4,3
285,284,-0.42,0.14,0.26,0.23,0.63,0.43,6
285,279,-0.44,-0.56,1.26,-0.2,0.5,1.4,3
285,285,0.85,-0.86,-0.52,-0.25,-1.63,0.18,6
285,281,-0.22,0.31,0.87,0.1,1.28,0.9,4
285,282,1.19,-1.01,0.92,-0.37,-0.47,0.65,4
